标题	内容	星级	赞同数	评论链接	评论时间	好评点1	好评点2	好评点3	好评点4	好评点5	好评点6	差评点1	差评点2	差评点3	差评点4	差评点5	差评点6	差评点7	v0_4o_mini	v0_4o	v0_4.5
Low quality	Shouldn’t have expected much for the price.  All the metal pieces have to be bent in order to line up the screws and holes.  Instructions aren’t as clear as they could be.	3	0	https://www.amazon.com/gp/customer-reviews/RCZJN6DSIJXMK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	12/8/2024							螺丝&孔位匹配度	金属零部件	安装说明书内容					{'差评点1': '五金件损坏情况', '差评点2': '说明书内容'}	{'差评点1': '螺丝孔位匹配度', '差评点2': '说明书内容'}	{'差评点1': '金属零部件变形情况', '差评点2': '螺丝孔位匹配度', '差评点3': '说明书内容'}
Great choice	Absolutely love mine ... easy to set up too.	5	0	https://www.amazon.com/gp/customer-reviews/R10ZIFNI8J5TPB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	12/8/2024	安装难度													{'好评点1': '安装难度'}	{'好评点1': '安装难度'}	{'好评点1': '安装难度'}
Desk top is ok, not great just ok	The desk frame is great very sturdy no issues. The desk top however is made up of four pieces which don't align well. I will at some point have a new one piece top made for the desk. When I ordered it I wondered if it would be several pieces and unfortunately it was. It is still good value	4	0	https://www.amazon.com/gp/customer-reviews/R1O2FHOMSFXNNE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	11/11/2024	稳定性	性价比					桌面平齐情况							{'好评点1': '稳定性', '差评点1': '桌板材质', '差评点2': '多板平齐情况'}	{'好评点1': '稳定性', '差评点1': '多板平齐情况'}	{'好评点1': '稳定性', '差评点1': '多板平齐情况', '好评点2': '整体收纳空间'}
DO NOT BUY this product!! It is very very poor quality!	This product was very cheap and flimsy! I DO NOT RECOMMEND BUYING! It is complete junk!! Overpriced and poorly made. When you get it you will hate it and the manufacturer will stick you with shipping charges back to them!! They need to send call tags!! this is a complete rip off!!!	1	5	https://www.amazon.com/gp/customer-reviews/R2HIUJFSJUZSJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	10/30/2024	稳定性						性价比							{'差评点1': '整体收纳空间', '差评点2': '包装保护性', '差评点3': '客服质量', '差评点4': '运输货品完好度', '差评点5': '退货运输费用'}	{'差评点1': '桌板材质', '差评点2': '退货运输费用'}	{'差评点1': '桌板材质', '差评点2': '稳定性', '差评点3': '退货运输费用'}
Good choice	Fits in small space, good quality, looks nice, good work space. Would recommend.	5	0	https://www.amazon.com/gp/customer-reviews/R2UM29MJSZS6TL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	10/26/2024	美观度													{'好评点1': '整体收纳空间', '好评点2': '美观度', '好评点3': '桌面材质'}	{'好评点1': '整体收纳空间', '好评点2': '美观度'}	{'好评点1': '整体收纳空间', '好评点2': '桌板材质', '好评点3': '美观度', '好评点4': '整体收纳空间'}
The part can’t fit into each other when assembled	The part can’t fit into each other when assembled . Part #13 and #14 are same size and instructions required to slot into each other???? This is broken and when return, you need to pay the return shipping cost which is expensive for these heavy items. Customer is wasting money to pay shipping and return shipping for this product. Don’t order!!!!!	1	3	https://www.amazon.com/gp/customer-reviews/R5BJMJ646F3QQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	10/26/2024	安装难度						说明书内容	退货运输费用						{'差评点1': '错件情况', '差评点2': '说明书内容', '差评点3': '退货运输费用'}	{'差评点1': '螺丝孔位匹配度', '差评点2': '说明书内容', '差评点3': '退货运输费用'}	{'差评点1': '螺丝孔位匹配度', '差评点2': '错件情况', '差评点3': '退货运输费用'}
Too expensive	Expected better quality for price overall, a bit flimsy. Drawer rails didn’t match.	3	0	https://www.amazon.com/gp/customer-reviews/R23D5LMCXUZYHV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	10/22/2024	性价比						稳定性	抽屉滑轨顺畅度						{'差评点1': '整体收纳空间', '差评点2': '抽屉滑轨顺畅度', '差评点3': '五金件损坏情况'}	{'差评点1': '整体收纳空间', '差评点2': '抽屉滑轨顺畅度'}	{'差评点1': '稳定性', '差评点2': '螺丝孔位匹配度'}
Love my new desk	I love my new desk.  The instructions were somewhat confusing in places and hard to follow.  Had to take sections apart and redo them.  Once we figured out the problems, the desk went together quite well.  The result is a very nice desk that is comfortable to work at.	5	0	https://www.amazon.com/gp/customer-reviews/RFGTBYATR3GNY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	10/4/2024	美观度						安装说明书内容	安装难度						{'好评点1': '美观度', '差评点1': '说明书内容', '差评点2': '安装难度'}	{'差评点1': '说明书内容', '好评点1': '美观度'}	{'好评点1': '美观度', '差评点1': '说明书内容', '好评点2': '螺丝孔位匹配度', '好评点3': '舒适度'}
Great quality	These desks are very good quality and very spacious	5	0	https://www.amazon.com/gp/customer-reviews/R29JE0W647FU6N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	10/4/2024														{'好评点1': '整体收纳空间', '好评点2': '桌体材质'}	{'好评点1': '桌板材质', '好评点2': '整体收纳空间'}	{'好评点1': '桌板材质', '好评点2': '整体收纳空间'}
Sturdy but didn't align perfectly	I bought this desk for my boyfriends birthday and while it was a great size for his office space, the two pieces didn't align perfectly flush and bothered me. But, he has loved it and has made it his own by putting his gaming setup and wifi on it. However, the instructions were confusing when putting it together and made me very frustrated.	4	1	https://www.amazon.com/gp/customer-reviews/RCCKREPNEVKQM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	9/18/2024							安装说明书内容							{'好评点1': '整体收纳空间', '差评点1': '多板平齐情况', '差评点2': '说明书内容'}	{'好评点1': '整体收纳空间', '差评点1': '多板平齐情况', '差评点2': '说明书内容'}	{'好评点1': '整体收纳空间', '差评点1': '多板平齐情况', '差评点2': '说明书内容'}
Item Is As Advertised	"The desk was received on time and is exactly as advertised.  Assembling the desk was a bit intensive, and there was one step where adding the sliding mechanism to the drawer was not explained, and took a moment to figure out.  I'm glad my PhD finally paid off.  As a note, place your finger within the mechanism and slide the locking mechanism up!  Sounds easy, but it wasn't.

Overall, the desk is solid and well made.  I like the fact that the smaller side of the ""L"" shape is movable.  I'd recommend this product."	5	1	https://www.amazon.com/gp/customer-reviews/R3NPMEJ5F9PVRC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	9/6/2024	商品与详情页匹配度	稳定性					安装难度	安装说明书内容						{'好评点1': '物流速度', '好评点2': '美观度', '好评点3': '整体收纳空间', '差评点1': '安装难度', '差评点2': '说明书内容'}	{'好评点1': '物流速度', '差评点1': '安装难度', '差评点2': '说明书内容', '好评点2': '稳定性', '好评点3': '整体收纳空间'}	{'好评点1': '物流速度', '好评点2': '包装保护性', '差评点1': '安装难度', '差评点2': '说明书内容', '好评点3': '稳定性', '好评点4': '桌板材质'}
great looks but missing screws and poor schematics	"the desk looks good if ALL screws were sent. Missing 2 type A screws (the longest one and MOST difficult to find ANYWHERE) and missing a bunch of the small round fasteners.
After looking everywhere, finally contacted a hardware store that was able to find a workaround solution.
The perspective of the drawings is also not easily understood."	3	2	https://www.amazon.com/gp/customer-reviews/RF6SEUJ6HSIH5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	9/5/2024							缺件情况	安装说明书内容						{'差评点1': '错件情况', '差评点2': '缺件情况', '差评点3': '说明书内容'}	"{""好评点1"": ""美观度"", ""差评点1"": ""缺件情况"", ""差评点2"": ""说明书内容""}"	{'好评点1': '美观度', '差评点1': '缺件情况', '差评点2': '螺丝钉外观', '差评点3': '说明书内容'}
MISSING THE DESK, only received box with file cabinet side	MISSING THE DESK, only received box with file cabinet side	1	1	https://www.amazon.com/gp/customer-reviews/R3FKFDS7XUZKR9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	8/23/2024							缺件情况							{'差评点1': '错件情况'}	{'差评点1': '缺件情况'}	{'差评点1': '缺件情况'}
Really nice desk	Such a nice desk that looks impressive once it is put together, I have the side attachment separate and behind me with the printer and other things, I love it.  I did but a separate under the desk drawer thing because I felt I needed more drawers.  I also almost died and almost decided to give up my entire business putting this thing together - please get help, as the middle part needs to be raised while you are attaching it to the top part.  I was doing it solo, and I still accomplished it, but I was bruised, scratched, and cursing like a drunken sailor - so for your sanity ask for help :)	5	2	https://www.amazon.com/gp/customer-reviews/R28P9F6U70ZD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	8/16/2024	美观度						安装难度							{'好评点1': '美观度', '差评点1': '安装难度', '差评点2': '整体收纳空间'}	"{
  '好评点1': '美观度',
  '差评点1': '抽屉大小',
  '差评点2': '安装难度'
}"	{'好评点1': '美观度', '差评点1': '抽屉大小', '差评点2': '安装难度'}
CEO	Had to expand some holes to fit. But it was easy eventually.  Makes me feel executive.	5	0	https://www.amazon.com/gp/customer-reviews/R1KHKHO4S4BBBA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	8/13/2024	安装难度						螺丝&孔位匹配度							{'好评点1': '安装难度', '好评点2': '美观度', '差评点1': '螺丝孔位匹配度'}	{'差评点1': '螺丝孔位匹配度', '好评点1': '安装难度'}	{'差评点1': '螺丝孔位匹配度', '好评点1': '安装难度', '好评点2': '美观度'}
Poor Product	Upon opening the box, I noticed that one of the top pieces of the desk was already chipped. Assembly wasn't too difficult up until the point I realized I had received the wrong bottom brace piece. I was given a mislabeled piece and was therefore missing the correct one for assembly. Overall, the lack of attention and care for this product by the shipper was extremely frustrating. I would say this desk looks nice, which is its only redeeming quality so far, but I wouldn't know since I can't even finish putting it together.	2	0	https://www.amazon.com/gp/customer-reviews/R28J7JFFUBXHNS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	7/29/2024	美观度						桌体破损情况	错件情况	安装难度					{'好评点1': '美观度', '差评点1': '桌体破损情况', '差评点2': '错件情况', '差评点3': '安装难度'}	{'差评点1': '桌体破损情况', '差评点2': '错件情况', '差评点3': '缺件情况', '差评点4': '运输货品完好度', '好评点1': '美观度'}	{'差评点1': '桌体破损情况', '好评点1': '安装难度', '差评点2': '错件情况', '差评点3': '缺件情况', '差评点4': '运输货品完好度', '好评点2': '美观度'}
Looks way nicer and sturdier in the picture	Packed it back up and returned it right after opening the box seeing how thin the materials were.  Just not sturdy.  Amazon also did not provide a free or discounted return even though I selected the free option during the return process.  Cost me $120 to return.  Choosing this desk ended up being a financially damaging experience.	2	1	https://www.amazon.com/gp/customer-reviews/R1BA3SMIIFIXX9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	7/25/2024							稳定性							{'差评点1': '桌体破损情况', '差评点2': '稳定性', '差评点3': '运输货品完好度', '差评点4': '退货运输费用'}	{'差评点1': '桌板厚度', '差评点2': '稳定性', '差评点3': '退货运输费用'}	{'差评点1': '桌板厚度', '差评点2': '稳定性', '差评点3': '退货运输费用'}
Good desk	Nice looking, practical. Good desk for the price	5	0	https://www.amazon.com/gp/customer-reviews/R3QEU32EHPXT33/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	7/19/2024	美观度	性价比												{'好评点1': '美观度', '好评点2': '整体收纳空间'}	{'好评点1': '美观度'}	{'好评点1': '美观度', '好评点2': '整体收纳空间'}
Poor quality	The desk was very poor quality with defective parts that need to be replaced before the assembly could be finished. I was told these parts were unavailable here and would need to be sent internationally. It would take a minimum of 15 days. So my desk sits here In pieces waiting for the parts. Do you self a favor and proceed with caution if buying this product.	1	2	https://www.amazon.com/gp/customer-reviews/RR7QCLBYXMSG9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	7/10/2024							五金件损坏情况	缺件情况						{'差评点1': '五金件损坏情况', '差评点2': '错件情况', '差评点3': '安装难度'}	{'差评点1': '桌板材质', '差评点2': '缺件情况'}	{'差评点1': '桌板材质', '差评点2': '五金件损坏情况', '差评点3': '缺件情况', '差评点4': '物流速度'}
Good Quality	Sturdy and well-made. Good quality product that will last a long time, and the wood color is pleasant. It's also huge and awesome and I can use this desk for school, work and hobbies all at the same time. Also the drawers are sturdy and made of the same material as the rest of the desk.	5	0	https://www.amazon.com/gp/customer-reviews/R14ZNCLUG5FD3W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	7/2/2024	稳定性	美观度					抽屉承重能力							{'好评点1': '整体收纳空间', '好评点2': '美观度', '好评点3': '抽屉大小', '好评点4': '桌板材质', '好评点5': '稳定性'}	{'好评点1': '稳定性', '好评点2': '桌板材质', '好评点3': '整体收纳空间', '好评点4': '抽屉大小'}	{'好评点1': '稳定性', '好评点2': '桌板材质', '好评点3': '美观度', '好评点4': '整体收纳空间', '好评点5': '抽屉滑轨顺畅度', '好评点6': '抽屉材质'}
More than half is missing	More than half of the parts and desk are missing. No instructions came with the one box that was delivered.  Extremely disappointing	1	1	https://www.amazon.com/gp/customer-reviews/RFHD4UJ8UR6JT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	6/1/2024							缺件情况	安装说明书						{'差评点1': '缺件情况', '差评点2': '说明书内容'}	{'差评点1': '缺件情况', '差评点2': '说明书内容'}	{'差评点1': '缺件情况', '差评点2': '说明书内容'}
Poor assembly instructions	It comes with very poor assembly instructions. It takes hours to install it and the quality is bad. I'd suggest to spend a few more $ and get something better	1	2	https://www.amazon.com/gp/customer-reviews/R32EA951KQSVSZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	5/26/2024							安装说明书	安装时长						{'差评点1': '说明书内容', '差评点2': '安装时长', '差评点3': '整体收纳空间'}	{'差评点1': '说明书内容', '差评点2': '安装时长', '差评点3': '桌板材质'}	{'差评点1': '说明书内容', '差评点2': '安装时长', '差评点3': '桌板材质'}
The Desk is Fine BUT......	I really like the space this desk provides as someone who is always buried in paperwork.  It is nice looking and the quality is decent.  HOWEVER, it had a crack on one of the desk face pieces and the cabinet holes were drilled on the wrong side of one of the pieces.  Customer service was always prompt to reply but tried over and over to give me a partial refund instead of the corrected pieces.  By the time they agreed to send new pieces, they could only send me one piece as the other was out of stock.  This has been a nightmare and I will never order from this company again	2	0	https://www.amazon.com/gp/customer-reviews/RD92T8FB0RYTE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	5/22/2024	美观度						桌体破损情况	客服质量						{'好评点1': '整体收纳空间', '好评点2': '美观度', '差评点1': '桌体破损情况', '差评点2': '错件情况', '差评点3': '客服质量'}	{'好评点1': '整体收纳空间', '好评点2': '美观度', '差评点1': '桌体破损情况', '差评点2': '螺丝孔位匹配度', '差评点3': '客服质量'}	{'好评点1': '整体收纳空间', '好评点2': '美观度', '好评点3': '桌板材质', '差评点1': '桌体破损情况', '差评点2': '螺丝孔位匹配度', '差评点3': '客服质量', '差评点4': '缺件情况'}
Not same as on the picture	I received 35” small unit , second unit received after three days of first unit . 35” unit little complicated. Anyway looking good	4	0	https://www.amazon.com/gp/customer-reviews/R10PGFKB8RVUQJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	5/20/2024	美观度													{'差评点1': '安装难度', '好评点1': '美观度', '好评点2': '物流速度'}	{'差评点1': '安装难度', '好评点1': '美观度'}	{'差评点1': '安装难度', '好评点1': '美观度'}
Big desk.	I purchased this desk and I love it. It has plenty of work space.	5	0	https://www.amazon.com/gp/customer-reviews/R16ENW1961P745/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CS9KGS3J	5/19/2024	桌面收纳空间													{'好评点1': '整体收纳空间'}	{'好评点1': '整体收纳空间'}	{'好评点1': '整体收纳空间'}
